영화코드,영화명,누적관객수,배우파워,평점,코멘트수,일차,일차2,일차3,국적군,감독평균최대관객수,감독.group,배급사평균최대관객수,배급사.group,장르평균최대관객수,장르.group,요일구분,월.group,평점계,기사수,등급평균최대관객수,공휴일평균관객수,공휴일누적평균관객수,공휴일총합
1,007 스펙터,188319,7133870,6.33,932,0,0,0,2,1797440,2,1069502,2,2008838,4,0,3,5899.56,3080,1731104.126,42032.47881,42032.47881,835765.8909
1,007 스펙터,356520,7133870,6.33,932,1,1,1,2,1797440,2,1069502,2,2008838,4,0,3,5899.56,3080,1731104.126,42032.47881,84064.95763,835765.8909
1,007 스펙터,549785,7133870,6.33,932,2,4,8,2,1797440,2,1069502,2,2008838,4,1,3,5899.56,3080,1731104.126,42032.47881,126097.4364,835765.8909
1,007 스펙터,906116,7133870,6.33,932,3,9,27,2,1797440,2,1069502,2,2008838,4,2,3,5899.56,3080,1731104.126,103860.2757,229957.7122,835765.8909
1,007 스펙터,1185137,7133870,6.33,932,4,16,64,2,1797440,2,1069502,2,2008838,4,2,3,5899.56,3080,1731104.126,103860.2757,333817.9879,835765.8909
1,007 스펙터,1265225,7133870,6.33,932,5,25,125,2,1797440,2,1069502,2,2008838,4,0,3,5899.56,3080,1731104.126,42032.47881,375850.4667,835765.8909
1,007 스펙터,1344283,7133870,6.33,932,6,36,216,2,1797440,2,1069502,2,2008838,4,0,3,5899.56,3080,1731104.126,42032.47881,417882.9455,835765.8909
1,007 스펙터,1412150,7133870,6.33,932,7,49,343,2,1797440,2,1069502,2,2008838,4,0,3,5899.56,3080,1731104.126,42032.47881,459915.4243,835765.8909
1,007 스펙터,1451439,7133870,6.33,932,8,64,512,2,1797440,2,1069502,2,2008838,4,0,3,5899.56,3080,1731104.126,42032.47881,501947.9031,835765.8909
1,007 스펙터,1499161,7133870,6.33,932,9,81,729,2,1797440,2,1069502,2,2008838,4,1,3,5899.56,3080,1731104.126,42032.47881,543980.3819,835765.8909
1,007 스펙터,1584326,7133870,6.33,932,10,100,1000,2,1797440,2,1069502,2,2008838,4,2,3,5899.56,3080,1731104.126,103860.2757,647840.6576,835765.8909
1,007 스펙터,1662908,7133870,6.33,932,11,121,1331,2,1797440,2,1069502,2,2008838,4,2,3,5899.56,3080,1731104.126,103860.2757,751700.9334,835765.8909
1,007 스펙터,1687924,7133870,6.33,932,12,144,1728,2,1797440,2,1069502,2,2008838,4,0,3,5899.56,3080,1731104.126,42032.47881,793733.4122,835765.8909
1,007 스펙터,1711319,7133870,6.33,932,13,169,2197,2,1797440,2,1069502,2,2008838,4,0,3,5899.56,3080,1731104.126,42032.47881,835765.891,835765.8909
2,13시간,13068,470560,6.92,182,0,0,0,0,2571690,3,1154853,2,2008838,4,0,3,1259.44,1494,1731104.126,42032.47881,42032.47881,835765.8909
2,13시간,30310,470560,6.92,182,1,1,1,0,2571690,3,1154853,2,2008838,4,1,3,1259.44,1494,1731104.126,42032.47881,84064.95763,835765.8909
2,13시간,65968,470560,6.92,182,2,4,8,0,2571690,3,1154853,2,2008838,4,2,3,1259.44,1494,1731104.126,103860.2757,187925.2333,835765.8909
2,13시간,96884,470560,6.92,182,3,9,27,0,2571690,3,1154853,2,2008838,4,2,3,1259.44,1494,1731104.126,103860.2757,291785.5091,835765.8909
2,13시간,106685,470560,6.92,182,4,16,64,0,2571690,3,1154853,2,2008838,4,0,3,1259.44,1494,1731104.126,42032.47881,333817.9879,835765.8909
2,13시간,115508,470560,6.92,182,5,25,125,0,2571690,3,1154853,2,2008838,4,0,3,1259.44,1494,1731104.126,42032.47881,375850.4667,835765.8909
2,13시간,124249,470560,6.92,182,6,36,216,0,2571690,3,1154853,2,2008838,4,0,3,1259.44,1494,1731104.126,42032.47881,417882.9455,835765.8909
2,13시간,126286,470560,6.92,182,7,49,343,0,2571690,3,1154853,2,2008838,4,0,3,1259.44,1494,1731104.126,42032.47881,459915.4243,835765.8909
2,13시간,129330,470560,6.92,182,8,64,512,0,2571690,3,1154853,2,2008838,4,1,3,1259.44,1494,1731104.126,42032.47881,501947.9031,835765.8909
2,13시간,134491,470560,6.92,182,9,81,729,0,2571690,3,1154853,2,2008838,4,2,3,1259.44,1494,1731104.126,103860.2757,605808.1788,835765.8909
2,13시간,138626,470560,6.92,182,10,100,1000,0,2571690,3,1154853,2,2008838,4,2,3,1259.44,1494,1731104.126,103860.2757,709668.4545,835765.8909
2,13시간,140000,470560,6.92,182,11,121,1331,0,2571690,3,1154853,2,2008838,4,0,3,1259.44,1494,1731104.126,42032.47881,751700.9334,835765.8909
2,13시간,141267,470560,6.92,182,12,144,1728,0,2571690,3,1154853,2,2008838,4,0,3,1259.44,1494,1731104.126,42032.47881,793733.4122,835765.8909
2,13시간,142515,470560,6.92,182,13,169,2197,0,2571690,3,1154853,2,2008838,4,0,3,1259.44,1494,1731104.126,42032.47881,835765.891,835765.8909
3,19곰 테드 2,18346,10047077,6.7,1728,0,0,0,0,170016,1,1069502,2,1145680,3,0,2,11577.6,607,808491.7238,42032.47881,42032.47881,835765.8909
3,19곰 테드 2,38448,10047077,6.7,1728,1,1,1,0,170016,1,1069502,2,1145680,3,1,2,11577.6,607,808491.7238,42032.47881,84064.95763,835765.8909
3,19곰 테드 2,64914,10047077,6.7,1728,2,4,8,0,170016,1,1069502,2,1145680,3,2,2,11577.6,607,808491.7238,103860.2757,187925.2333,835765.8909
3,19곰 테드 2,89840,10047077,6.7,1728,3,9,27,0,170016,1,1069502,2,1145680,3,2,2,11577.6,607,808491.7238,103860.2757,291785.5091,835765.8909
3,19곰 테드 2,104503,10047077,6.7,1728,4,16,64,0,170016,1,1069502,2,1145680,3,0,2,11577.6,607,808491.7238,42032.47881,333817.9879,835765.8909
3,19곰 테드 2,119518,10047077,6.7,1728,5,25,125,0,170016,1,1069502,2,1145680,3,0,2,11577.6,607,808491.7238,42032.47881,375850.4667,835765.8909
3,19곰 테드 2,133198,10047077,6.7,1728,6,36,216,0,170016,1,1069502,2,1145680,3,0,1,11577.6,607,808491.7238,42032.47881,417882.9455,835765.8909
3,19곰 테드 2,137324,10047077,6.7,1728,7,49,343,0,170016,1,1069502,2,1145680,3,0,1,11577.6,607,808491.7238,42032.47881,459915.4243,835765.8909
3,19곰 테드 2,142450,10047077,6.7,1728,8,64,512,0,170016,1,1069502,2,1145680,3,1,1,11577.6,607,808491.7238,42032.47881,501947.9031,835765.8909
3,19곰 테드 2,149477,10047077,6.7,1728,9,81,729,0,170016,1,1069502,2,1145680,3,2,1,11577.6,607,808491.7238,103860.2757,605808.1788,835765.8909
3,19곰 테드 2,155803,10047077,6.7,1728,10,100,1000,0,170016,1,1069502,2,1145680,3,2,1,11577.6,607,808491.7238,103860.2757,709668.4545,835765.8909
3,19곰 테드 2,159480,10047077,6.7,1728,11,121,1331,0,170016,1,1069502,2,1145680,3,0,1,11577.6,607,808491.7238,42032.47881,751700.9334,835765.8909
3,19곰 테드 2,163184,10047077,6.7,1728,12,144,1728,0,170016,1,1069502,2,1145680,3,0,1,11577.6,607,808491.7238,42032.47881,793733.4122,835765.8909
3,19곰 테드 2,167144,10047077,6.7,1728,13,169,2197,0,170016,1,1069502,2,1145680,3,0,1,11577.6,607,808491.7238,42032.47881,835765.891,835765.8909
4,23 아이덴티티,137279,12366170,6.58,537,0,0,0,0,1102225,2,1069502,2,1109504,3,0,2,3533.46,1447,1731104.126,42032.47881,42032.47881,923540.8953
4,23 아이덴티티,268063,12366170,6.58,537,1,1,1,0,1102225,2,1069502,2,1109504,3,0,2,3533.46,1447,1731104.126,42032.47881,84064.95763,923540.8953
4,23 아이덴티티,418182,12366170,6.58,537,2,4,8,0,1102225,2,1069502,2,1109504,3,1,2,3533.46,1447,1731104.126,42032.47881,126097.4364,923540.8953
4,23 아이덴티티,701803,12366170,6.58,537,3,9,27,0,1102225,2,1069502,2,1109504,3,2,2,3533.46,1447,1731104.126,103860.2757,229957.7122,923540.8953
4,23 아이덴티티,966904,12366170,6.58,537,4,16,64,0,1102225,2,1069502,2,1109504,3,2,2,3533.46,1447,1731104.126,103860.2757,333817.9879,923540.8953
4,23 아이덴티티,1080137,12366170,6.58,537,5,25,125,0,1102225,2,1069502,2,1109504,3,0,2,3533.46,1447,1731104.126,42032.47881,375850.4667,923540.8953
4,23 아이덴티티,1196692,12366170,6.58,537,6,36,216,0,1102225,2,1069502,2,1109504,3,0,2,3533.46,1447,1731104.126,42032.47881,417882.9455,923540.8953
4,23 아이덴티티,1316094,12366170,6.58,537,7,49,343,0,1102225,2,1069502,2,1109504,3,0,3,3533.46,1447,1731104.126,129807.4832,547690.4287,923540.8953
4,23 아이덴티티,1348217,12366170,6.58,537,8,64,512,0,1102225,2,1069502,2,1109504,3,0,3,3533.46,1447,1731104.126,42032.47881,589722.9075,923540.8953
4,23 아이덴티티,1384441,12366170,6.58,537,9,81,729,0,1102225,2,1069502,2,1109504,3,1,3,3533.46,1447,1731104.126,42032.47881,631755.3863,923540.8953
4,23 아이덴티티,1462174,12366170,6.58,537,10,100,1000,0,1102225,2,1069502,2,1109504,3,2,3,3533.46,1447,1731104.126,103860.2757,735615.6621,923540.8953
4,23 아이덴티티,1527342,12366170,6.58,537,11,121,1331,0,1102225,2,1069502,2,1109504,3,2,3,3533.46,1447,1731104.126,103860.2757,839475.9378,923540.8953
4,23 아이덴티티,1546107,12366170,6.58,537,12,144,1728,0,1102225,2,1069502,2,1109504,3,0,3,3533.46,1447,1731104.126,42032.47881,881508.4166,923540.8953
4,23 아이덴티티,1562611,12366170,6.58,537,13,169,2197,0,1102225,2,1069502,2,1109504,3,0,3,3533.46,1447,1731104.126,42032.47881,923540.8954,923540.8953
5,300: 제국의 부활,120997,7764200,5.87,813,0,0,0,0,1569742,2,1767240.415,2,2008837.893,4,0,3,4772.31,1605,808491.7238,42032.47881,42032.47881,835765.8909
5,300: 제국의 부활,262623,7764200,5.87,813,1,1,1,0,1569742,2,1767240.415,2,2008837.893,4,1,3,4772.31,1605,808491.7238,42032.47881,84064.95763,835765.8909
5,300: 제국의 부활,547055,7764200,5.87,813,2,4,8,0,1569742,2,1767240.415,2,2008837.893,4,2,3,4772.31,1605,808491.7238,103860.2757,187925.2333,835765.8909
5,300: 제국의 부활,782873,7764200,5.87,813,3,9,27,0,1569742,2,1767240.415,2,2008837.893,4,2,3,4772.31,1605,808491.7238,103860.2757,291785.5091,835765.8909
5,300: 제국의 부활,858457,7764200,5.87,813,4,16,64,0,1569742,2,1767240.415,2,2008837.893,4,0,3,4772.31,1605,808491.7238,42032.47881,333817.9879,835765.8909
5,300: 제국의 부활,918903,7764200,5.87,813,5,25,125,0,1569742,2,1767240.415,2,2008837.893,4,0,3,4772.31,1605,808491.7238,42032.47881,375850.4667,835765.8909
5,300: 제국의 부활,979115,7764200,5.87,813,6,36,216,0,1569742,2,1767240.415,2,2008837.893,4,0,3,4772.31,1605,808491.7238,42032.47881,417882.9455,835765.8909
5,300: 제국의 부활,1025630,7764200,5.87,813,7,49,343,0,1569742,2,1767240.415,2,2008837.893,4,0,3,4772.31,1605,808491.7238,42032.47881,459915.4243,835765.8909
5,300: 제국의 부활,1093763,7764200,5.87,813,8,64,512,0,1569742,2,1767240.415,2,2008837.893,4,1,3,4772.31,1605,808491.7238,42032.47881,501947.9031,835765.8909
5,300: 제국의 부활,1225379,7764200,5.87,813,9,81,729,0,1569742,2,1767240.415,2,2008837.893,4,2,3,4772.31,1605,808491.7238,103860.2757,605808.1788,835765.8909
5,300: 제국의 부활,1328898,7764200,5.87,813,10,100,1000,0,1569742,2,1767240.415,2,2008837.893,4,2,3,4772.31,1605,808491.7238,103860.2757,709668.4545,835765.8909
5,300: 제국의 부활,1362406,7764200,5.87,813,11,121,1331,0,1569742,2,1767240.415,2,2008837.893,4,0,3,4772.31,1605,808491.7238,42032.47881,751700.9334,835765.8909
5,300: 제국의 부활,1392888,7764200,5.87,813,12,144,1728,0,1569742,2,1767240.415,2,2008837.893,4,0,3,4772.31,1605,808491.7238,42032.47881,793733.4122,835765.8909
5,300: 제국의 부활,1422304,7764200,5.87,813,13,169,2197,0,1569742,2,1767240.415,2,2008837.893,4,0,3,4772.31,1605,808491.7238,42032.47881,835765.891,835765.8909
6,47 미터,75603,1771367,5.94,205,0,0,0,2,589808,1,366966.2,1,1109504,3,0,1,1217.7,347,1731104.126,42032.47881,42032.47881,835765.8909
6,47 미터,138247,1771367,5.94,205,1,1,1,2,589808,1,366966.2,1,1109504,3,0,1,1217.7,347,1731104.126,42032.47881,84064.95763,835765.8909
6,47 미터,215617,1771367,5.94,205,2,4,8,2,589808,1,366966.2,1,1109504,3,1,1,1217.7,347,1731104.126,42032.47881,126097.4364,835765.8909
6,47 미터,332412,1771367,5.94,205,3,9,27,2,589808,1,366966.2,1,1109504,3,2,1,1217.7,347,1731104.126,103860.2757,229957.7122,835765.8909
6,47 미터,439979,1771367,5.94,205,4,16,64,2,589808,1,366966.2,1,1109504,3,2,1,1217.7,347,1731104.126,103860.2757,333817.9879,835765.8909
6,47 미터,483708,1771367,5.94,205,5,25,125,2,589808,1,366966.2,1,1109504,3,0,1,1217.7,347,1731104.126,42032.47881,375850.4667,835765.8909
6,47 미터,523344,1771367,5.94,205,6,36,216,2,589808,1,366966.2,1,1109504,3,0,1,1217.7,347,1731104.126,42032.47881,417882.9455,835765.8909
6,47 미터,536658,1771367,5.94,205,7,49,343,2,589808,1,366966.2,1,1109504,3,0,1,1217.7,347,1731104.126,42032.47881,459915.4243,835765.8909
6,47 미터,544811,1771367,5.94,205,8,64,512,2,589808,1,366966.2,1,1109504,3,0,1,1217.7,347,1731104.126,42032.47881,501947.9031,835765.8909
6,47 미터,553660,1771367,5.94,205,9,81,729,2,589808,1,366966.2,1,1109504,3,1,1,1217.7,347,1731104.126,42032.47881,543980.3819,835765.8909
6,47 미터,563460,1771367,5.94,205,10,100,1000,2,589808,1,366966.2,1,1109504,3,2,1,1217.7,347,1731104.126,103860.2757,647840.6576,835765.8909
